Country,Year,Country Code,"Age at first marriage, female"
Aruba,2010,ABW,28.5
Afghanistan,2015,AFG,21.5
Angola,2016,AGO,21.5
Albania,2018,ALB,24.2
Argentina,2010,ARG,24.6
Armenia,2015,ARM,24.2
Australia,2016,AUS,29.9
Austria,2011,AUT,27.1
Azerbaijan,2018,AZE,24.2
Burundi,2016,BDI,22.8
Belgium,2011,BEL,26.3
Benin,2018,BEN,20.7
Burkina Faso,2017,BFA,20
Bangladesh,2014,BGD,18.8
Bulgaria,2018,BGR,32.6
Bahrain,2010,BHR,26.9
"Bahamas, The",2010,BHS,27.9
Bosnia and Herzegovina,2012,BIH,25.7
Belarus,2012,BLR,22.5
Belize,2016,BLZ,20.5
Bermuda,2016,BMU,31.9
Bolivia,2016,BOL,24
Brazil,2010,BRA,23.9
Barbados,2012,BRB,17
Brunei Darussalam,2011,BRN,26.1
Bhutan,2017,BTN,23.8
Botswana,2017,BWA,22.9
Central African Republic,2010,CAF,17.3
Canada,2016,CAN,27.2
Switzerland,2017,CHE,30.9
Chile,2011,CHL,27.4
China,2016,CHN,25.4
Cote d'Ivoire,2016,CIV,23
Cameroon,2014,CMR,22.2
"Congo, Dem. Rep.",2014,COD,20.9
"Congo, Rep.",2015,COG,21.9
Colombia,2015,COL,22.7
Comoros,2012,COM,22.6
Costa Rica,2018,CRI,26.4
Cuba,2014,CUB,22.1
Cayman Islands,2010,CYM,28
Cyprus,2011,CYP,26.4
Czech Republic,2018,CZE,32.4
Germany,2018,DEU,31.7
Djibouti,2012,DJI,29.9
Denmark,2018,DNK,31.9
Dominican Republic,2014,DOM,21.5
Algeria,2012,DZA,28.2
Ecuador,2010,ECU,21.8
"Egypt, Arab Rep.",2017,EGY,22.3
Spain,2011,ESP,27.7
Estonia,2018,EST,33.6
Ethiopia,2016,ETH,21.3
Finland,2018,FIN,30.7
France,2013,FRA,32
Faroe Islands,2018,FRO,31
"Micronesia, Fed. Sts.",2010,FSM,25.3
Gabon,2012,GAB,22.9
United Kingdom,2011,GBR,27
Georgia,2014,GEO,22.8
Ghana,2017,GHA,23.7
Gibraltar,2012,GIB,29.1
Guinea,2014,GIN,19.8
"Gambia, The",2013,GMB,21.5
Guinea-Bissau,2014,GNB,24.1
Equatorial Guinea,2011,GNQ,20.5
Greece,2011,GRC,29.2
Greenland,2018,GRL,32.9
Guatemala,2018,GTM,22.7
Guyana,2014,GUY,19.2
"Hong Kong SAR, China",2016,HKG,29.9
Honduras,2012,HND,21.2
Croatia,2011,HRV,27.4
Haiti,2016,HTI,24.9
Hungary,2018,HUN,32.9
Indonesia,2017,IDN,22.4
Isle of Man,2011,IMN,30.7
India,2016,IND,21.4
Ireland,2016,IRL,32.4
"Iran, Islamic Rep.",2016,IRN,23.1
Iraq,2012,IRQ,22.7
Iceland,2018,ISL,32.4
Israel,2016,ISR,26.2
Italy,2018,ITA,32.2
Jamaica,2011,JAM,25.3
Jordan,2018,JOR,24.6
Japan,2015,JPN,29.2
Kazakhstan,2015,KAZ,22.4
Kenya,2014,KEN,21.9
Kyrgyz Republic,2014,KGZ,21.2
Cambodia,2014,KHM,21.6
Kiribati,2010,KIR,21.6
"Korea, Rep.",2015,KOR,31.5
Kuwait,2011,KWT,25.7
Lao PDR,2017,LAO,20.7
Liberia,2013,LBR,22.6
St. Lucia,2012,LCA,21.9
Liechtenstein,2018,LIE,29.9
Sri Lanka,2016,LKA,23.9
Lesotho,2014,LSO,22.2
Lithuania,2018,LTU,32.7
Luxembourg,2018,LUX,30.7
Latvia,2018,LVA,30.4
"Macao SAR, China",2011,MAC,30.3
Morocco,2018,MAR,24.4
Moldova,2014,MDA,25
Maldives,2017,MDV,22.5
Mexico,2019,MEX,23.2
Marshall Islands,2011,MHL,24.2
North Macedonia,2011,MKD,25.5
Mali,2018,MLI,18.8
Malta,2011,MLT,28
Myanmar,2016,MMR,22.9
Montenegro,2013,MNE,26.3
Mongolia,2013,MNG,23
Northern Mariana Islands,2010,MNP,28.1
Mozambique,2017,MOZ,18.7
Mauritania,2015,MRT,21.8
Mauritius,2011,MUS,23.9
Malawi,2018,MWI,20.4
Malaysia,2010,MYS,25.7
Namibia,2016,NAM,30.3
New Caledonia,2014,NCL,32.8
Niger,2015,NER,17.2
Nigeria,2013,NGA,21.2
Nicaragua,2012,NIC,21.1
Netherlands,2018,NLD,32.4
Norway,2018,NOR,32.1
Nepal,2016,NPL,20.1
Oman,2010,OMN,25.6
Pakistan,2017,PAK,23.2
Panama,2013,PAN,21
Peru,2016,PER,23.3
Philippines,2017,PHL,23.4
Palau,2015,PLW,28.5
Papua New Guinea,2016,PNG,21.4
Poland,2011,POL,26.6
Puerto Rico,2010,PRI,29.2
Portugal,2011,PRT,30.1
Paraguay,2016,PRY,21.9
West Bank and Gaza,2017,PSE,22.1
French Polynesia,2012,PYF,33.8
Romania,2011,ROU,25.9
Russian Federation,2010,RUS,24.4
Rwanda,2015,RWA,24.3
Saudi Arabia,2017,SAU,26.6
Sudan,2014,SDN,21.9
Senegal,2017,SEN,22.2
Singapore,2010,SGP,27.9
Solomon Islands,2015,SLB,22.4
Sierra Leone,2017,SLE,23.1
El Salvador,2014,SLV,22.6
San Marino,2018,SMR,31.3
Serbia,2014,SRB,26.6
South Sudan,2010,SSD,18.4
Sao Tome and Principe,2014,STP,21
Suriname,2012,SUR,29.3
Slovak Republic,2018,SVK,31
Slovenia,2018,SVN,34
Sweden,2018,SWE,31
Eswatini,2014,SWZ,26.5
Sint Maarten (Dutch part),2011,SXM,28
Chad,2015,TCD,18.8
Togo,2017,TGO,21.3
Thailand,2012,THA,22.5
Tajikistan,2017,TJK,20.7
Turkmenistan,2015,TKM,23.5
Timor-Leste,2016,TLS,23
Tonga,2016,TON,25.3
Trinidad and Tobago,2011,TTO,29.2
Tunisia,2014,TUN,28.2
Turkiye,2013,TUR,23.4
Tanzania,2016,TZA,21
Uganda,2016,UGA,20.7
Ukraine,2012,UKR,23
Uruguay,2013,URY,23
United States,2010,USA,27.5
St. Vincent and the Grenadines,2012,VCT,21.2
"Venezuela, RB",2011,VEN,22.9
Virgin Islands (U.S.),2010,VIR,30.9
Vietnam,2015,VNM,22.8
Samoa,2016,WSM,23.8
"Yemen, Rep.",2013,YEM,22.8
South Africa,2016,ZAF,27.2
Zambia,2014,ZMB,21.8
Zimbabwe,2017,ZWE,21.1