p25,p_median,item_id,itemName,dateStata
.7,.75,210204,"Dry Spaghetti/Pasta 500g",01-04-2022
3.2,3.37,212939,"CHILLED PIZZA EACH 300-600G",01-04-2022
5.25,6.25,211501,"CHEDDAR-HOME PRODUCED PER KG",01-04-2022
.35,.9,212603,"Baked Beans 400g",01-04-2022
.95,.95,211710,"Semi-skimmed Milk 2 pints'",01-04-2022
1,1.5,212225,"CHOCOLATE LARGE BAR 100-200G",01-04-2022
.5,1,212910,"Canned Soup 400g",01-04-2022
1.99,2.5,212933,"ICE CREAM 450ML-1L",01-04-2022
7.45,8.75,211511,"SOFT CONTINENTAL CHEESE - KG",01-04-2022
.9,1,212006,"FRUIT JUICE NOT ORANGE 1L",01-04-2022
1.5,2.29,211409,"Peanut Butter 225-350g",01-04-2022
2,2.5,210213,"Breakfast Cereal",01-04-2022
.75,.95,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-04-2022
.45,.5,212601,"Canned Tomatoes 400g",01-04-2022
1.1,2.2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-04-2022
.945,1.1,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-04-2022
3,3.77,211408,"OLIVE OIL - 500ML - 1 LITRE",01-04-2022
1.25,2,220117,"BOTTLED MINERAL WATER",01-04-2022
1.7,1.95,211306,"250g Butter'",01-04-2022
1,1.49,520209,"TOOTHPASTE",01-04-2022
1.25,1.6,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-04-2022
.85,.9,212402,"POTATO CRISPS 25G-50G",01-04-2022
.55,.7,211814,"YOGHURT-SMALL INDIVIDUAL",01-04-2022
.65,.75,212608,"CANNED SWEETCORN 198-340G",01-04-2022
1.15,1.15,210102,"Large White Loaf Unsliced 800g",01-04-2022
1.35,1.75,210212,"Basmati Rice 500g-1KG",01-04-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-04-2022
.4,.6,212008,"LEMONADE-2 LITRE BOTTLE",01-04-2022
2.5,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-04-2022
1.65,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-04-2022
.89,1.125,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-05-2022
7.2,8.5,211511,"SOFT CONTINENTAL CHEESE - KG",01-05-2022
.4,.6,212008,"LEMONADE-2 LITRE BOTTLE",01-05-2022
3,3.8,211408,"OLIVE OIL - 500ML - 1 LITRE",01-05-2022
1.1,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-05-2022
1,1.5,212225,"CHOCOLATE LARGE BAR 100-200G",01-05-2022
1.85,2.425,212405,"FROZEN CHIPS 900G-1.5KG'",01-05-2022
1.1,1.2,210111,"WHITE SLICED LOAF BRANDED 750G",01-05-2022
1,1.3,520209,"TOOTHPASTE",01-05-2022
.5,1,212910,"Canned Soup 400g",01-05-2022
.55,.7,211814,"YOGHURT-SMALL INDIVIDUAL",01-05-2022
1.35,1.85,210212,"Basmati Rice 500g-1KG",01-05-2022
1.5,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-05-2022
1.99,2.5,212933,"ICE CREAM 450ML-1L",01-05-2022
.95,.99,211710,"Semi-skimmed Milk 2 pints'",01-05-2022
1.15,1.2,210102,"Large White Loaf Unsliced 800g",01-05-2022
1.29,1.29,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-05-2022
.9,1,212006,"FRUIT JUICE NOT ORANGE 1L",01-05-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-05-2022
1.4,2.27,211409,"Peanut Butter 225-350g",01-05-2022
.75,.9,210204,"Dry Spaghetti/Pasta 500g",01-05-2022
.79,1,211207,"CANNED FISH, TUNA, 130G-200G",01-05-2022
.35,1,212603,"Baked Beans 400g",01-05-2022
2.75,3.5,212939,"CHILLED PIZZA EACH 300-600G",01-05-2022
.25,.45,212021,"Bottle still water",01-05-2022
.8,.9,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-05-2022
2.25,2.5,210213,"Breakfast Cereal",01-05-2022
.65,.8,212608,"CANNED SWEETCORN 198-340G",01-05-2022
1.25,1.5,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-05-2022
1.5,2.2,211407,"Margarine 500g",01-05-2022
1.1,1.65,212918,"FRZN READY-COOKD MEAL SERVES 1",01-05-2022
.45,.45,212601,"Canned Tomatoes 400g",01-05-2022
.85,.9,212402,"POTATO CRISPS 25G-50G",01-05-2022
5.71,6.57,211501,"CHEDDAR-HOME PRODUCED PER KG",01-05-2022
2.5,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-05-2022
1.15,2.1,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-05-2022
16.25,18.82,211510,"Parmesan Cheese per kg'",01-05-2022
1.25,2,220117,"BOTTLED MINERAL WATER",01-05-2022
1.75,1.95,211306,"250g Butter'",01-05-2022
1.35,1.85,210212,"Basmati Rice 500g-1KG",01-06-2022
1,1.6,212918,"FRZN READY-COOKD MEAL SERVES 1",01-06-2022
1.5,1.5,211407,"Margarine 500g",01-06-2022
1.2,1.2,210102,"Large White Loaf Unsliced 800g",01-06-2022
.79,1,211207,"CANNED FISH, TUNA, 130G-200G",01-06-2022
.35,1,212603,"Baked Beans 400g",01-06-2022
.9,1,212006,"FRUIT JUICE NOT ORANGE 1L",01-06-2022
1.99,2.5,212933,"ICE CREAM 450ML-1L",01-06-2022
1.1,1.2,210111,"WHITE SLICED LOAF BRANDED 750G",01-06-2022
1.5,2,211409,"Peanut Butter 225-350g",01-06-2022
2.5,2.6,210213,"Breakfast Cereal",01-06-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-06-2022
1.25,2,220117,"BOTTLED MINERAL WATER",01-06-2022
.55,.7,211814,"YOGHURT-SMALL INDIVIDUAL",01-06-2022
.85,.9,212402,"POTATO CRISPS 25G-50G",01-06-2022
1,1.05,211710,"Semi-skimmed Milk 2 pints'",01-06-2022
.45,.45,212601,"Canned Tomatoes 400g",01-06-2022
3,3.95,211408,"OLIVE OIL - 500ML - 1 LITRE",01-06-2022
.7,.8,212608,"CANNED SWEETCORN 198-340G",01-06-2022
5.71,7.14,211501,"CHEDDAR-HOME PRODUCED PER KG",01-06-2022
.8,.95,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-06-2022
1,1.48,520209,"TOOTHPASTE",01-06-2022
1.35,1.35,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-06-2022
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-06-2022
.18,.36,212021,"Bottle still water",01-06-2022
1.1,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-06-2022
2.75,3.2,212939,"CHILLED PIZZA EACH 300-600G",01-06-2022
1.15,2.25,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-06-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-06-2022
1.25,1.6,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-06-2022
1.5,2.5,211210,"FROZEN FISH FINGERS 8-12 PK",01-06-2022
16.375,18.82,211510,"Parmesan Cheese per kg'",01-06-2022
.55,1,212910,"Canned Soup 400g",01-06-2022
1.8,2,211306,"250g Butter'",01-06-2022
7.2,8.5,211511,"SOFT CONTINENTAL CHEESE - KG",01-06-2022
.45,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-06-2022
.95,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-06-2022
1.9,2.5,212405,"FROZEN CHIPS 900G-1.5KG'",01-06-2022
.8,.95,210204,"Dry Spaghetti/Pasta 500g",01-06-2022
1.45,1.45,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-07-2022
.8,.99,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-07-2022
6,7.14,211501,"CHEDDAR-HOME PRODUCED PER KG",01-07-2022
1.05,1.15,211710,"Semi-skimmed Milk 2 pints'",01-07-2022
1.1,1.2,210111,"WHITE SLICED LOAF BRANDED 750G",01-07-2022
2.5,3,210213,"Breakfast Cereal",01-07-2022
1.9,2.25,211306,"250g Butter'",01-07-2022
16.5,19,211510,"Parmesan Cheese per kg'",01-07-2022
.85,.9,212402,"POTATO CRISPS 25G-50G",01-07-2022
.8,.95,210204,"Dry Spaghetti/Pasta 500g",01-07-2022
1.175,1.6,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-07-2022
.5,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-07-2022
8.75,9.6,211511,"SOFT CONTINENTAL CHEESE - KG",01-07-2022
1.8,2.5,212933,"ICE CREAM 450ML-1L",01-07-2022
1.65,2.75,211210,"FROZEN FISH FINGERS 8-12 PK",01-07-2022
.19,.36,212021,"Bottle still water",01-07-2022
.75,.8,212608,"CANNED SWEETCORN 198-340G",01-07-2022
.45,.49,212601,"Canned Tomatoes 400g",01-07-2022
.59,.7,211814,"YOGHURT-SMALL INDIVIDUAL",01-07-2022
3.25,3.69,212939,"CHILLED PIZZA EACH 300-600G",01-07-2022
3.2,4.5,211408,"OLIVE OIL - 500ML - 1 LITRE",01-07-2022
1.875,2.5,212405,"FROZEN CHIPS 900G-1.5KG'",01-07-2022
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-07-2022
.79,1,211207,"CANNED FISH, TUNA, 130G-200G",01-07-2022
1,1.48,520209,"TOOTHPASTE",01-07-2022
1,1.09,212006,"FRUIT JUICE NOT ORANGE 1L",01-07-2022
1.25,2,220117,"BOTTLED MINERAL WATER",01-07-2022
1.35,1.85,210212,"Basmati Rice 500g-1KG",01-07-2022
.95,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-07-2022
1.2,1.25,210102,"Large White Loaf Unsliced 800g",01-07-2022
1.25,1.65,212918,"FRZN READY-COOKD MEAL SERVES 1",01-07-2022
1.15,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-07-2022
1.65,1.97,211407,"Margarine 500g",01-07-2022
.4,.9,212603,"Baked Beans 400g",01-07-2022
1.2,2,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-07-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-07-2022
.55,1.05,212910,"Canned Soup 400g",01-07-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-07-2022
1.5,2.5,211409,"Peanut Butter 225-350g",01-07-2022
.5,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-08-2022
2,2.85,211210,"FROZEN FISH FINGERS 8-12 PK",01-08-2022
1.2,1.25,210102,"Large White Loaf Unsliced 800g",01-08-2022
2,2.5,212933,"ICE CREAM 450ML-1L",01-08-2022
1.2,2.275,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-08-2022
1.85,2.3,211306,"250g Butter'",01-08-2022
1.2,1.25,210111,"WHITE SLICED LOAF BRANDED 750G",01-08-2022
.595,.7,211814,"YOGHURT-SMALL INDIVIDUAL",01-08-2022
.9,.9,212402,"POTATO CRISPS 25G-50G",01-08-2022
.45,.5,212601,"Canned Tomatoes 400g",01-08-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-08-2022
16.5,20,211510,"Parmesan Cheese per kg'",01-08-2022
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-08-2022
1.15,1.15,211710,"Semi-skimmed Milk 2 pints'",01-08-2022
6.43,7.135,211501,"CHEDDAR-HOME PRODUCED PER KG",01-08-2022
1.7,2.25,212405,"FROZEN CHIPS 900G-1.5KG'",01-08-2022
3.49,4.5,211408,"OLIVE OIL - 500ML - 1 LITRE",01-08-2022
1,1.09,212006,"FRUIT JUICE NOT ORANGE 1L",01-08-2022
1.1,1.99,212930,"MAYONNAISE 390-500G/420-540MLS",01-08-2022
1.5,1.7,211409,"Peanut Butter 225-350g",01-08-2022
.55,1.4,212910,"Canned Soup 400g",01-08-2022
1.55,1.85,210212,"Basmati Rice 500g-1KG",01-08-2022
8.6,9.6,211511,"SOFT CONTINENTAL CHEESE - KG",01-08-2022
1,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-08-2022
1.25,1.6,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-08-2022
3.3,3.75,212939,"CHILLED PIZZA EACH 300-600G",01-08-2022
2.4,2.8,210213,"Breakfast Cereal",01-08-2022
.4,1.2,212603,"Baked Beans 400g",01-08-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-08-2022
1.3,2,220117,"BOTTLED MINERAL WATER",01-08-2022
.79,1,211207,"CANNED FISH, TUNA, 130G-200G",01-08-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-08-2022
1.75,1.85,211407,"Margarine 500g",01-08-2022
1.45,1.45,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-08-2022
1.25,1.75,212918,"FRZN READY-COOKD MEAL SERVES 1",01-08-2022
1,1.295,520209,"TOOTHPASTE",01-08-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-08-2022
.27,.75,212021,"Bottle still water",01-08-2022
.85,.95,210204,"Dry Spaghetti/Pasta 500g",01-08-2022
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-09-2022
6.43,7.69,211501,"CHEDDAR-HOME PRODUCED PER KG",01-09-2022
2,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-09-2022
1.2,2.5,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-09-2022
3.5,4.3,211408,"OLIVE OIL - 500ML - 1 LITRE",01-09-2022
8,10,211511,"SOFT CONTINENTAL CHEESE - KG",01-09-2022
.95,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-09-2022
.79,1,211207,"CANNED FISH, TUNA, 130G-200G",01-09-2022
1.55,2,211409,"Peanut Butter 225-350g",01-09-2022
.9,.9,212402,"POTATO CRISPS 25G-50G",01-09-2022
1,1.1,212006,"FRUIT JUICE NOT ORANGE 1L",01-09-2022
1.35,1.75,212918,"FRZN READY-COOKD MEAL SERVES 1",01-09-2022
1.05,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-09-2022
1.2,1.25,210111,"WHITE SLICED LOAF BRANDED 750G",01-09-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-09-2022
3,4.25,212939,"CHILLED PIZZA EACH 300-600G",01-09-2022
16.72,20,211510,"Parmesan Cheese per kg'",01-09-2022
.25,.37,212021,"Bottle still water",01-09-2022
1.29,2.05,220117,"BOTTLED MINERAL WATER",01-09-2022
.5,.55,212008,"LEMONADE-2 LITRE BOTTLE",01-09-2022
1.55,1.85,210212,"Basmati Rice 500g-1KG",01-09-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-09-2022
1.5,1.6,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-09-2022
.4,1.2,212603,"Baked Beans 400g",01-09-2022
2.1,2.25,211306,"250g Butter'",01-09-2022
1.75,2.05,211407,"Margarine 500g",01-09-2022
1.15,1.15,211710,"Semi-skimmed Milk 2 pints'",01-09-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-09-2022
.6,.725,211814,"YOGHURT-SMALL INDIVIDUAL",01-09-2022
.55,1.4,212910,"Canned Soup 400g",01-09-2022
1.45,1.45,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-09-2022
2,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-09-2022
.85,1,210204,"Dry Spaghetti/Pasta 500g",01-09-2022
.45,.5,212601,"Canned Tomatoes 400g",01-09-2022
1.2,1.225,210102,"Large White Loaf Unsliced 800g",01-09-2022
2.4,2.6,210213,"Breakfast Cereal",01-09-2022
1.9,2.9,212405,"FROZEN CHIPS 900G-1.5KG'",01-09-2022
1,1.49,520209,"TOOTHPASTE",01-09-2022
2,3.5,212933,"ICE CREAM 450ML-1L",01-09-2022
2.4,3,210213,"Breakfast Cereal",01-10-2022
1.1,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-10-2022
2.25,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-10-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-10-2022
.45,.55,212601,"Canned Tomatoes 400g",01-10-2022
9.5,10.2,211511,"SOFT CONTINENTAL CHEESE - KG",01-10-2022
1.575,2,211409,"Peanut Butter 225-350g",01-10-2022
.2,.5,212021,"Bottle still water",01-10-2022
1.2,1.25,210111,"WHITE SLICED LOAF BRANDED 750G",01-10-2022
.6,.8,211814,"YOGHURT-SMALL INDIVIDUAL",01-10-2022
1,1.47,520209,"TOOTHPASTE",01-10-2022
2,2.3,211306,"250g Butter'",01-10-2022
.95,1.2,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-10-2022
1.55,1.55,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-10-2022
7.13,7.86,211501,"CHEDDAR-HOME PRODUCED PER KG",01-10-2022
.9,.9,212402,"POTATO CRISPS 25G-50G",01-10-2022
3.25,3.65,212939,"CHILLED PIZZA EACH 300-600G",01-10-2022
.4,1.2,212603,"Baked Beans 400g",01-10-2022
1.75,2.25,211407,"Margarine 500g",01-10-2022
1.9,2.5,212405,"FROZEN CHIPS 900G-1.5KG'",01-10-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-10-2022
1.35,1.75,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-10-2022
1.59,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-10-2022
.79,1.05,211207,"CANNED FISH, TUNA, 130G-200G",01-10-2022
1.1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-10-2022
2,3,212933,"ICE CREAM 450ML-1L",01-10-2022
.89,.9,210204,"Dry Spaghetti/Pasta 500g",01-10-2022
1,1.1,212006,"FRUIT JUICE NOT ORANGE 1L",01-10-2022
.55,1.4,212910,"Canned Soup 400g",01-10-2022
17.11,20.92,211510,"Parmesan Cheese per kg'",01-10-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-10-2022
1.29,2,220117,"BOTTLED MINERAL WATER",01-10-2022
.55,.6,212008,"LEMONADE-2 LITRE BOTTLE",01-10-2022
1.2,2.25,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-10-2022
1.42,1.77,212918,"FRZN READY-COOKD MEAL SERVES 1",01-10-2022
1.25,1.25,211710,"Semi-skimmed Milk 2 pints'",01-10-2022
1.59,1.995,210212,"Basmati Rice 500g-1KG",01-10-2022
1.2,1.25,210102,"Large White Loaf Unsliced 800g",01-10-2022
3.59,4.5,211408,"OLIVE OIL - 500ML - 1 LITRE",01-10-2022
3.5,4.25,211408,"OLIVE OIL - 500ML - 1 LITRE",01-11-2022
1,1.49,520209,"TOOTHPASTE",01-11-2022
1.35,1.75,212918,"FRZN READY-COOKD MEAL SERVES 1",01-11-2022
1.95,2,212405,"FROZEN CHIPS 900G-1.5KG'",01-11-2022
.19,.6,212021,"Bottle still water",01-11-2022
1.65,2,211409,"Peanut Butter 225-350g",01-11-2022
.79,1.05,211207,"CANNED FISH, TUNA, 130G-200G",01-11-2022
2,3,211210,"FROZEN FISH FINGERS 8-12 PK",01-11-2022
.75,.95,212608,"CANNED SWEETCORN 198-340G",01-11-2022
7.5,8,211501,"CHEDDAR-HOME PRODUCED PER KG",01-11-2022
.65,.8,211814,"YOGHURT-SMALL INDIVIDUAL",01-11-2022
.95,.975,210204,"Dry Spaghetti/Pasta 500g",01-11-2022
1.25,1.25,211710,"Semi-skimmed Milk 2 pints'",01-11-2022
1.15,2.275,211901,"TEA BAGS PKT OF 80 (230G-250G)",01-11-2022
.5,1.2,212603,"Baked Beans 400g",01-11-2022
.55,.625,212008,"LEMONADE-2 LITRE BOTTLE",01-11-2022
1,1.45,210113,"WHOLEMEAL SLICED LOAF BRANDED",01-11-2022
2.25,2.5,213005,"HOT CHOCOLATE DRINK INSTANT",01-11-2022
2.4,3,210213,"Breakfast Cereal",01-11-2022
.45,.55,212601,"Canned Tomatoes 400g",01-11-2022
1.15,1.3,210111,"WHITE SLICED LOAF BRANDED 750G",01-11-2022
1.75,2.25,211407,"Margarine 500g",01-11-2022
1.59,2,210212,"Basmati Rice 500g-1KG",01-11-2022
2.125,2.3,211306,"250g Butter'",01-11-2022
1,1.1,212006,"FRUIT JUICE NOT ORANGE 1L",01-11-2022
1.2,2,212930,"MAYONNAISE 390-500G/420-540MLS",01-11-2022
.9,.95,212402,"POTATO CRISPS 25G-50G",01-11-2022
1.2,1.3,210102,"Large White Loaf Unsliced 800g",01-11-2022
1,1.6,212225,"CHOCOLATE LARGE BAR 100-200G",01-11-2022
8.76,12.42,211511,"SOFT CONTINENTAL CHEESE - KG",01-11-2022
1.55,1.55,211709,"SHOP MILK-WHOLE MILK-4PT/2LTR'",01-11-2022
1.35,2.1,220117,"BOTTLED MINERAL WATER",01-11-2022
17.45,20.59,211510,"Parmesan Cheese per kg'",01-11-2022
.65,1.4,212910,"Canned Soup 400g",01-11-2022
.8,1,210106,"SIX BREAD ROLLS-WHITE/BROWN",01-11-2022
1.35,1.7,211714,"NON-DAIRY MILK DRINK 900ML-1LT",01-11-2022
3.5,3.95,212939,"CHILLED PIZZA EACH 300-600G",01-11-2022
2.65,3,213003,"COFFEE-INSTANT 90 -100G JAR",01-11-2022
2.09,2.75,212933,"ICE CREAM 450ML-1L",01-11-2022
